,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0,40211.0
mean,98.17779211409812,98.17132087985874,99.1886880224814,97.14373896262217,2662987.5396157196,98.17036036656637,27924.627390515034,0.9998000522245157,2.044949066175922,71.12464221885847,4940.602887419158,98.09277240095993,97.63907527810454,96.59085644006078,98.09276195527174,97.64989993694654,96.61459080980161
std,128.31737754537977,128.40893643377274,129.6736885261135,127.03040200566842,5068573.371027839,128.3884988562485,29741.020876547205,0.015760756711642995,3.344270127474026,47.11255883794295,3530.1868160747704,127.98709838557903,125.54257094927333,119.04617883416937,127.97524280493623,125.514466071771,119.2641226456242
min,5.8,5.76,6.05,5.685,1423.0,5.7749,64.0,0.8015,0.09,5.258685446009389,395.80487595304373,5.917260000000001,6.482536666666666,6.960718000000001,5.993340060309041,6.817425040688336,7.410438127567092
25%,36.81,36.78,37.21,36.36,322676.0,36.782,7129.0,0.9918,0.675,43.05081243976624,2268.2834023045016,36.775619999999996,36.754395,36.894178999999994,36.77508472642944,36.74916672219639,36.960131064349994
50%,60.99,60.99,61.565,60.39,1231695.0,60.9619,19579.0,1.0,1.15,61.84490574183336,4289.035029165002,60.98836,60.782889999999995,60.877176,60.99222322808477,60.67914962874523,60.73103271433376
75%,110.22,110.24000000000001,111.44,109.145,3076990.5,110.31309999999999,37953.5,1.0078,2.17995,85.45909144434479,6469.800244126174,110.13750999999999,110.052555,108.696539,110.26026750824343,110.62309510487644,107.93003308034415
max,1362.01,1355.99,1376.8407,1348.21,372311273.0,1360.2055,676845.0,1.2771,116.25,913.6244422324432,75948.81744469592,1347.56384,1310.4083666666666,1265.6778869999998,1347.597239693398,1286.975797577394,1224.17161553621
