,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0,297068.0
mean,48.232243677117694,48.227409222804205,48.943899877785555,47.51916255641804,976041.3093045519,48.23095761004214,9941.684664790553,1.000023034456757,1.424737321084735,69.34020482046783,2271.125257692202,48.17906735067391,47.85089589335398,47.287842186562486,48.17804217885661,47.85524876239422,47.17624601230682
std,50.62107447346508,50.61720165346254,51.366845734514314,49.87762260139644,3215583.7001328543,50.61935558238421,14272.383412259143,0.021763875060404975,1.885669021569731,53.52792011511755,1570.7455121349244,50.53608217879022,50.002806713425,49.07423689018222,50.52354980435921,49.96807459681656,48.851171908797035
min,1.01,0.9801,1.04,0.7801,167.0,0.9014,9.0,0.5233,0.0,7.385878767355232,174.14710261194028,1.0356999999999998,1.14054,1.34102,1.0399362863029171,1.130831304409874,1.2934476591938506
25%,18.05,18.05,18.36,17.76,176009.0,18.057074999999998,4162.0,0.9886,0.48,39.26004140635826,1294.1685051958134,18.057185,18.0334625,18.139068388888887,18.062491475599415,18.054150143596342,18.098250491277373
50%,32.81,32.8,33.31,32.31,393807.0,32.80075,6989.0,1.0,0.885,55.556728316027936,1884.9143143315368,32.80658,32.709055,32.5915665,32.807033074533614,32.71207777482583,32.55587755986174
75%,59.12,59.09,59.96,58.28,893531.75,59.101275,11587.0,1.0112,1.655,82.80673651722284,2782.827224726493,59.067315,58.75095083333333,57.94670706653226,59.07154272510462,58.68760924996272,57.94775863868414
max,836.93,849.79,861.89,827.369,316011150.0,850.7015,1180303.0,1.396,72.09,2844.179987039637,76097.8709571829,824.0747800000001,783.5961233333334,759.4267512195122,816.7849006121453,778.0961157086876,736.2214574274179
