,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0,121077.0
mean,122.56407247288915,122.57915464952056,123.953911039479,121.174429975974,1393201.7598929433,122.57766099919887,16872.675041502516,1.0002621885246579,2.7794810632903033,59.9201541282085,5373.765466059217,122.35770047186226,120.92437588248866,117.75304668322516,122.35481631534617,120.94649682805752,117.6956202547155
std,128.4553553591669,128.45490300868983,129.7404964084117,127.10589783269491,3624059.5814045174,128.4400239447681,20997.996798148346,0.017242833720767507,3.4079880886808454,45.30993891078791,4203.90962843002,128.1275490388129,126.00815020480842,120.76597415083204,128.10650873467085,125.96481092675461,120.8586069189855
min,2.61,2.62,2.69,2.47,395.0,2.5689,11.0,0.7459,0.0,10.26066897347174,261.3989514563107,2.7043,3.1017466666666667,3.384601,2.730853423469695,3.079728112071188,3.416437018818482
25%,42.74,42.75,43.29,42.17,234508.0,42.7482,5898.0,0.9913,0.92,36.03286890924486,2557.682624715118,42.68266,42.327016666666665,41.74187777777777,42.69919275350256,42.47833477542896,41.63946519832972
50%,85.87,85.85,86.8,84.89,526329.0,85.8588,10375.0,1.0003,1.77,48.318363064008395,4308.974466878049,85.75035999999999,85.04448333333333,84.145442,85.74718006474693,84.99888965450272,83.96968662397997
75%,164.18,164.2,166.27,162.2,1184477.0,164.2727,19739.0,1.0092,3.39,68.00397111913357,6850.906160744129,164.0826,162.81682,158.424281,164.06461551815585,162.9255483648822,158.1523489617845
max,1442.4,1442.53,1451.32,1426.325,364261230.0,1444.0835,593791.0,1.3023,97.15,1654.6982477801712,155509.5660756987,1424.29182,1391.93272,1321.6288510000002,1426.9389409005864,1380.5247662779946,1327.6677785379595
