,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0,86678.0
mean,121.67459848058331,121.71175628187085,123.25625401852835,120.11225188336141,6510713.505168555,121.70158273956481,43132.76579985694,1.0004579039664045,3.1440021308751933,74.46135042823015,6123.824681826469,121.47623749626975,120.09416774012418,116.92057169683808,121.47461496238272,120.10655444119503,116.72556830881847
std,156.43603861899032,156.5262331655244,158.3304419614342,154.60119009088072,36600691.06063961,156.49578643808917,123914.70206299401,0.020567919069591416,4.628196039904871,76.4530627685436,5982.501043546356,155.95903447649192,152.40148772770203,143.92159032257075,155.9293264024027,152.4059887494567,144.163784098864
min,3.15,3.145,3.26,3.11,589.0,3.1774,15.0,0.7684,0.06,7.65970205190668,294.4050171232877,3.1774,3.1774,3.1774,3.1774,3.1774,3.1774
25%,32.12,32.13,32.62,31.68,325408.5,32.146025,7604.0,0.9901,0.8383499999999999,38.48842956346247,2274.382475743509,32.111215,31.872956666666667,31.7588205,32.11634725265151,31.957285373109293,31.759023762376238
50%,72.88,72.91,73.8725,71.945,834784.0,72.9066,14566.5,1.0005,1.77,55.45195636403527,4106.063782469898,72.93653,72.38820166666667,71.274911,72.91618368781153,72.57532456282192,71.57889919904953
75%,147.395,147.42,149.26625,145.36,2528518.5,147.371825,33724.0,1.0108,3.715,81.50421989170307,7805.504714668217,147.16493,145.08155666666664,142.1250635,147.16332238790554,145.19886929656593,141.65468676414568
max,2391.645,2382.4,2402.515,2361.36,1543833770.0,2378.268,4741155.0,1.3155,155.13,1744.6792484065888,222134.8321764799,2365.0667000000003,2265.8580966666673,1966.608287,2365.691932616804,2251.979986065765,1992.4313522455757
