,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0,126965.0
mean,83.76754087346906,83.78410984917105,84.69152885180168,82.8553184495491,1811860.1744234364,83.78521699208444,18644.469916906233,1.0002548978064822,1.8362104028669317,70.54299174171908,4199.502072632097,83.65009458940129,82.79137855480886,81.05569253856264,83.64772467114177,82.79762253103684,81.01663548620263
std,101.73066563923466,101.75062956642039,102.63917702376227,100.84056548981097,4465220.847210212,101.7476444617214,26607.304772496267,0.018213924672452603,2.3106381023056097,48.264442024445444,3986.5840462183583,101.54013684527025,100.23893184503522,97.36904609098461,101.53051644011678,100.2210114622445,97.41002434686332
min,3.05,3.05,3.24,3.01,167.0,3.1116,9.0,0.4993,0.0,8.334049871023216,324.9836440687932,3.26824,3.785446666666666,4.4612,3.328668412680549,3.750580009701945,4.4278056992356625
25%,26.58,26.59,26.97,26.195,249106.0,26.5828,5338.0,0.9909,0.6,41.493444033817646,1760.441465858369,26.599399999999996,26.60049666666667,26.488105,26.58657208032437,26.576135982896396,26.482522064930222
50%,48.9,48.91,49.55,48.24,591633.0,48.9171,10099.0,1.0003,1.14,57.00700556852883,2818.9549892741934,48.839380000000006,48.447226666666666,47.526987,48.82870699878774,48.41700769618879,47.59398267148298
75%,96.44,96.5,97.58,95.32,1639938.0,96.4668,21404.0,1.0094,2.175,83.66255099849688,5099.3318683939515,96.34586,95.04642666666668,92.356879,96.29590291695924,95.16684651597276,92.47509566926266
max,1068.19,1065.26,1082.45,1060.2801,218403265.0,1070.192,976880.0,2.0264,70.44,1344.26070394032,215280.01537154705,1058.29196,1035.4598133333334,950.204839,1056.048383738983,1031.0475796473602,961.2186926850546
