,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0,40704.0
mean,101.79185062647404,101.79782778105346,102.95501504029087,100.61484463256683,1692799.4587018476,101.79464354608882,18558.244668828618,1.0000615418632075,2.3401704083136794,66.13842188470478,4806.549914878891,101.70356241794418,101.06311380116514,99.6817680472805,101.69978186334842,101.047954148796,99.43208155106245
std,98.44149129082544,98.45302809437864,99.34394638695213,97.49518288402176,3776626.465777137,98.44045051115866,19101.450857222902,0.017891154649095548,2.5221954431889686,52.174326902595304,3746.4255744812094,98.28551617917843,97.21692323344269,94.48174799578507,98.27113184322491,97.16825471085772,94.28047476162651
min,2.25,2.26,2.29,2.194,766.0,2.2507,18.0,0.8143,0.02,6.141732283464567,374.74310475,2.325,2.563806666666667,3.274826,2.3344537039363016,2.6149056436820333,3.234432737039051
25%,40.97,40.93,41.57,40.38,267666.25,40.954925,6313.0,0.9907,0.9,38.47573561762819,2600.1808301033625,40.952745,40.70316916666667,40.630109250000004,41.00089726795215,40.59145502926544,40.148999241801825
50%,70.14,70.215,71.1,69.305,688134.5,70.18690000000001,12960.0,1.0,1.57,52.400819854305354,3887.6204354044144,70.08275,69.81669,69.556551,70.05280768019577,69.74593450044699,69.28304177422534
75%,126.21249999999999,126.1325,127.54,124.76625,1695154.5,126.08815,24492.25,1.0093,2.8640749999999997,77.86543037848534,5786.73972201944,125.999225,125.57258166666665,125.09266236764705,126.02979984068375,125.6971275370848,124.6692542571556
max,644.0,643.89,649.9999,640.71,414116335.0,645.5729,600773.0,1.396,72.09,1622.0328271453584,171252.496148435,640.1108,627.00769,589.279531,638.7466393699506,620.1857659391997,581.5161957889429
