,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0,84563.0
mean,128.14159085533865,128.12155348674955,129.6918234560505,126.52861356985916,1745181.226434729,128.11549325473317,21251.8057424642,0.9999345422939109,3.1632098884855075,64.4821011159083,5728.634832260275,128.07110468463353,127.77863722175375,126.87834646928891,128.06845371694314,127.72765152316408,126.66406745457117
std,169.2789204976116,169.23766680752277,171.02375591206308,167.38530292694435,3806783.3490055827,169.2153415887767,24563.99976038193,0.02117038266812908,4.478191836370144,41.023765061882365,5397.582210941952,169.1473558380647,168.77039112135952,167.0864809545738,169.12637378188592,168.54937155984598,166.4185956478717
min,3.03,3.01,3.105,2.945,816.0,3.0417,25.0,0.5233,0.05,8.55373831775701,255.40942367142307,3.08258,3.2234100000000003,3.450676595744681,3.092290772877557,3.2674574115089112,3.4026256033559994
25%,28.09,28.09,28.54,27.63,376666.0,28.08415,8035.0,0.9896,0.82,40.51047903638877,1904.3612923540315,28.10017,28.229891666666667,28.645482451807233,28.0946746922532,28.28598425239401,28.585897545504388
50%,71.32,71.26,72.21,70.33,770504.0,71.2967,13666.0,1.0,1.6697,54.54309999554982,3851.6952228014006,71.26902,71.12713666666667,71.07841499999999,71.260169779676,71.02976813710994,71.27961428964751
75%,156.695,156.86,158.76999999999998,154.93,1642924.5,156.78215,24362.0,1.01,3.8,76.16307439855757,7769.773517432608,156.85381,156.78080333333332,156.94241800000003,156.90499360888737,156.7766149030754,156.5449213748696
max,1603.63,1598.99,1615.97,1577.71,158100678.0,1590.8193,688960.0,1.3606,127.15,1324.7250944792925,89690.01961559501,1582.41522,1536.5522933333334,1509.568119047619,1578.3373049341592,1528.040796699676,1490.8180383007664
