,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0,743971.0
mean,107.79889975008973,107.81483469207804,109.06501535996027,106.53962615191719,2684132.8539912365,107.81444783721413,25059.165748396106,1.0001539025042643,2.525389208047087,72.6059504135156,4972.941867145136,107.66392674348194,106.71131788068722,104.61910323856605,107.66191863738803,106.71435621430507,104.50017982802872
std,246.97202692531556,247.078950700932,249.61585806061328,244.49196504755272,13791644.908212423,247.10597979598072,62532.51043554475,0.018680804312063103,5.809517536807531,58.417183904608486,4717.330014550722,246.51490596047546,242.66168397117502,232.5718167842491,246.4949069306581,242.59344827470431,232.80345896808197
min,1.01,0.9801,1.04,0.7801,167.0,0.9014,9.0,0.4993,0.0,2.9936395759717316,174.14710261194028,1.0356999999999998,1.14054,1.34102,1.0399362863029171,1.130831304409874,1.2934476591938506
25%,29.87,29.86,30.3,29.42,320471.0,29.8647,7000.0,0.9906,0.68,41.3059336824697,2042.0432373579943,29.8557,29.82286666666667,29.90849228684732,29.864811780939064,29.870921045348183,29.938051479127367
50%,59.24,59.23,59.97,58.5,799709.0,59.2365,13207.0,1.0001,1.335,57.882655165947874,3573.175670742711,59.197759999999995,58.954629999999995,58.415316,59.20059479008393,58.9425985855595,58.29553237854862
75%,118.79,118.79,120.22,117.33,1974973.0,118.78604999999999,25943.0,1.0096,2.71145,85.0302552616789,6201.628927002968,118.65236999999999,117.66741666666665,115.80613422222223,118.66854888148526,117.62575504291519,115.56895593038058
max,9914.17,9924.4,9964.77,9794.0,1543833770.0,9905.0066,4741155.0,2.0264,472.2,2844.179987039637,286896.9294431866,9820.16212,9608.155876666666,9150.617209,9807.845211532887,9535.734118716578,8993.779998610356
