,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0,29407.0
mean,62.696071438773075,62.683141065052524,63.29749792216139,62.05078955864251,2204311.1522833644,62.67779883021049,21657.257693746385,0.9998789709933009,1.2467083585540855,80.21792858257506,4317.910788015801,62.652689030559614,62.45686391363525,62.02152471194469,62.65093088139079,62.45208939057979,62.11981784191593
std,30.45752847762473,30.441278106888685,30.804192408618498,30.067113451410062,3295628.2457784647,30.435299718768547,19682.188253448014,0.013200224822928163,1.113895791764254,52.01104019731301,2204.5397672161425,30.372424270732857,29.937314554866873,28.887406800936198,30.362126663323213,29.89601543070107,28.918502768524075
min,10.0886,10.0166,10.1579,9.9945,668.0,10.0334,13.0,0.8911,0.0554,14.33566911639036,835.3711770981507,10.13156,10.354366666666667,10.667487,10.140296312445544,10.406505795581555,10.791375617662364
25%,40.53,40.53,40.9,40.14,355696.0,40.529650000000004,7098.0,0.9924,0.65,48.41479836516786,2715.0092439875925,40.5248,40.62601,41.105936,40.519236985954805,40.66206978945773,41.009021506743295
50%,59.57,59.55,60.14,58.99,1224846.0,59.5314,17026.0,1.0,1.01,67.2436641221374,3852.499353481164,59.54194,59.626063333333335,59.67120294117647,59.5070019334645,59.61393816657843,59.96131418243736
75%,78.785,78.725,79.5,77.9425,2796468.0,78.70089999999999,30307.0,1.0071,1.51,95.13443453702115,5523.742243530306,78.6295,78.63651333333334,78.510685,78.62352019098068,78.75111456937722,78.24905051387677
max,285.0,285.52,288.7533,275.6,129453453.0,281.9023,427474.0,1.1538,22.24,1507.166503417591,45551.38445069507,276.48608,266.59868,227.016045,275.43942295368214,256.88026530272555,232.60437545072747
