,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0,97888.0
mean,163.02170252431347,163.09311493850112,164.98163033591453,161.17596924768105,3138761.70926467,163.10624865867115,31515.12567423995,1.0002729711507028,3.80566109124714,73.35123407180657,5299.320497045262,162.79541539310233,160.90584692995512,156.77263253710143,162.79491298368225,160.9270009512257,156.50562653370972
std,594.2820792183942,594.58543393919,600.6180360035095,588.4890748082815,11249081.612921994,594.6932292191508,104023.83257151413,0.019971829468166752,13.22885365925303,72.5053421100269,6032.164373540929,593.2145541080745,583.5911561151115,557.7649802938635,593.1777181148088,583.436775160008,558.5547326837836
min,1.88,1.9,1.94,1.81,659.0,1.8816,19.0,0.6967,0.0,2.9936395759717316,380.1999433275895,1.943,2.3236533333333336,2.6737900000000003,1.9772299521887384,2.5385897136585616,2.9439926242913628
25%,33.42,33.41,33.9093,32.93,378361.75,33.421925,8948.0,0.9895,0.815,40.897003171186384,2188.23469619802,33.389055,33.34795833333333,33.4701135,33.392408358832675,33.43902349669501,33.409979965477675
50%,63.75,63.74,64.59,62.90445,904191.5,63.771950000000004,15494.0,1.0001,1.57,55.453181608515024,3641.2372214228762,63.7222,63.30377833333333,62.53543088461538,63.7177865667216,63.26338459870807,62.4407624094239
75%,122.11,122.24249999999999,123.76625,120.63125,2167177.0,122.2772,27773.5,1.0108,3.04,81.13530607186163,6123.052568109435,122.013385,121.10206249999999,118.61448125,121.95570026941157,120.77631917044393,117.50338484601971
max,9914.17,9924.4,9964.77,9794.0,306542013.0,9905.0066,3203814.0,1.4745,472.2,1922.4185724185725,286896.9294431866,9820.16212,9608.155876666666,9150.617209,9807.845211532887,9535.734118716578,8993.779998610356
