,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0,35293.0
mean,60.557784291502564,60.519662301306205,61.38959859822061,59.667567092227934,3090109.8300796193,60.526711806873884,29965.91077550789,0.9995673249652905,1.7220315048309864,89.9453487700286,4037.1107748377553,60.48821461342665,60.12665966934351,59.51553326704211,60.48368163743878,60.14385034045094,59.527997226812076
std,89.50822334501851,89.4432402177247,90.93171690933063,87.90164743263738,3850263.9172592205,89.40842742527086,29163.54687935098,0.019961723331578463,3.8172481038113393,48.10064678554407,3295.772480239249,89.13080799097132,86.11600965631466,81.40389158023835,89.0735188761359,86.4174468131906,83.1229162441661
min,5.67,5.64,5.78,5.63,11939.0,5.686,98.0,0.8451,0.06,8.579805207712184,352.9869570435419,5.734240000000001,6.06146,6.1944,5.759872658393593,6.095373202884255,6.1944
25%,22.49,22.48,22.84,22.13,766965.0,22.4702,11271.0,0.9883,0.58,59.67808873720136,1943.2075552963108,22.45584,22.37562,22.338215,22.462894987527623,22.434380144778135,22.43166270277746
50%,37.0,36.97,37.5,36.445,1670883.0,36.9989,19934.0,0.9997,1.015,78.60163069835112,3140.9497777307033,36.94868,36.85195,37.122702,36.930585740721085,37.06423811007168,37.14711782543112
75%,65.35,65.27,66.25,64.38,3897155.0,65.2815,39904.0,1.0107,1.8999,110.34373320758442,4961.9844124320125,65.27492,65.02999666666668,64.23366,65.3204706307944,64.9709013219684,63.76396180152682
max,1736.09,1730.0,1769.14,1593.01,67593913.0,1685.2919,583461.0,1.1769,227.53,977.313202145656,173469.1246655761,1625.1971,1392.1092866666668,1051.153326,1597.7605404355893,1375.361894196275,1109.6243940781997
