,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0,25318.0
mean,83.03513017908207,83.05849675329804,84.10531679635042,82.00812871988309,5610019.663322537,83.06425547831581,46959.94960107433,1.0003682439371195,2.0971880756773835,97.48906863738932,4740.113296807127,82.93327748143614,82.17706484653131,80.96441452113268,82.93222249479535,82.17641563987746,80.64217464396486
std,124.27681391602248,124.32375845568399,125.97311745207534,122.64774404914333,10680410.33724207,124.3249818423032,78598.49636145323,0.020960327920407265,3.8779568559328337,92.76327861282871,4965.993086590219,124.05050166517726,122.55558932912963,120.4348980857389,124.03538557769967,122.53463252341344,119.80236115401323
min,1.01,0.9801,1.04,0.7801,1498.0,0.9014,33.0,0.7102,0.01,8.537533753375337,174.14710261194028,1.0356999999999998,1.14054,1.34102,1.0399362863029171,1.130831304409874,1.2934476591938506
25%,18.56,18.5625,18.84,18.25,477470.25,18.55715,8631.25,0.9904,0.48,49.20078046434662,1677.1975818181857,18.550845,18.391,18.38479225,18.541558122362865,18.427127382719895,18.248171014317826
50%,34.5,34.49,34.9,34.057500000000005,1366426.5,34.49065,18329.0,1.0002,0.85,72.17161003240551,2791.1374394939166,34.45854,34.35188333333333,34.576194,34.4394320421199,34.324428526781844,34.48842995160625
75%,92.34,92.3425,93.35,91.3875,4629741.75,92.392775,44945.5,1.0102,1.92,105.93198709360291,6102.002752133771,92.37760499999999,91.91764666666666,91.1449347857143,92.37439041795622,91.89299243223148,90.9862641083835
max,933.35,936.56,941.75,923.08,316011150.0,936.1353,1379115.0,1.378,71.9,2844.179987039637,58731.97443114169,924.4102,859.80614,759.4267512195122,923.3643420928596,865.9354424343608,768.2175115532239
