,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0,55867.0
mean,57.44334291442175,57.45335949666171,58.05530116292266,56.82742418121611,1559560.9625234935,57.449633959224585,15229.165768700665,1.0000815651457928,1.2278769774643348,92.44065843761247,3546.6896726183213,57.409503694995855,57.14685159866998,56.55709962430874,57.4088381627442,57.14127354800266,56.53262224643578
std,89.06203350097887,89.11359104354324,89.95907176831221,88.19075727509623,2379886.577570292,89.09717688942257,12517.104763694511,0.016128229940786158,2.010592526298584,55.833712133761495,3328.289136254172,88.96767791722722,88.19564420020637,86.61570701858098,88.96214171108227,88.18599884166728,86.59591049515207
min,2.55,2.51,2.58,2.42,661.0,2.4738,16.0,0.7682,0.02,12.528115706947824,348.598249023406,2.64478,2.8411199999999996,3.845727,2.617157947940711,2.940660946513884,3.8929373856421714
25%,15.11,15.11,15.315,14.92,512950.5,15.10945,7222.0,0.9912,0.33445,57.59001196928551,1529.226093502911,15.08522,15.038413333333333,15.025205944444444,15.088179304248388,15.038733308785744,15.024809603710578
50%,31.36,31.37,31.69,31.03,1011264.0,31.3689,12307.0,1.0,0.61,81.07534584980237,2435.661831590909,31.368100000000005,31.385769999999997,31.481827,31.382822985035173,31.453008303110657,31.394038163054137
75%,61.4,61.38,61.98,60.7825,1853522.0,61.36645,19316.0,1.0089,1.31,114.49881149984955,4300.777214692016,61.376540000000006,61.03970833333333,60.6529515,61.344939014189876,60.90538375113741,60.7148407232971
max,986.0,985.0,994.03,980.03,155362537.0,984.5862,362090.0,1.2024,45.78,2777.9251708480483,62685.62124571812,975.03884,937.8384933333332,876.261979,971.87473602819,944.0015598694106,888.2305897853288
