,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0,198302.0
mean,95.34539896067615,95.36043764409837,96.54342604862784,94.16926749921836,1378536.506954905,95.36583802936937,15715.5305493641,1.000242727758671,2.3741585490817037,66.76866121400131,4288.657718791365,95.22538899377382,94.35030953027943,92.52133003812345,95.22345000119148,94.3490108864912,92.31547165126398
std,98.12822157229026,98.16221780512426,99.28519789839547,97.0208276575482,3225501.5755214863,98.16419242601371,19636.59893401978,0.018064098849700148,2.971748921277958,45.675127423197715,2524.34514930397,97.91183463059143,96.3219907515502,92.55388681631233,97.89461829573109,96.28017370981173,92.476744011951
min,2.25,2.26,2.29,2.194,659.0,2.2507,11.0,0.6967,0.0,3.762049500651324,433.98650060774736,2.325,2.563806666666667,3.274826,2.3344537039363016,2.6149056436820333,3.234432737039051
25%,37.64,37.65,38.15,37.15,338076.5,37.64855,8156.0,0.9908,0.79,39.7020766845841,2693.113707321529,37.615429999999996,37.429435,37.445678,37.61713610542127,37.533854956721335,37.33298006190654
50%,65.51,65.54,66.37,64.69,688206.0,65.52925,12248.0,1.0002,1.47,55.13334750581761,3690.0460338534626,65.45309,64.96961666666667,64.03602649999999,65.44000266388343,65.08871558340721,64.1362987132584
75%,117.1875,117.21,118.62,115.74875,1421203.75,117.17575,18598.0,1.0096,2.815,79.16314681068943,5184.164056168761,117.04767,116.35382333333335,114.77568238265306,117.029424972241,116.46726447335251,114.26580094331473
max,1362.01,1355.99,1376.8407,1348.21,414116335.0,1360.2055,3119767.0,2.0264,116.25,1654.6982477801712,105601.17365563851,1347.56384,1310.4083666666666,1265.6778869999998,1347.597239693398,1286.975797577394,1224.17161553621
