,open,close,high,low,volume,vwap,transactions,open_close_delta,price_daily_range,volume_per_transaction,price_per_transaction,vwap_sma_5,vwap_sma_30,vwap_sma_100,vwap_ema_5,vwap_ema_30,vwap_ema_100
count,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0,248601.0
mean,188.91241699188663,188.95388543087117,190.89540114953687,186.9341456467512,5766669.552584494,188.94417980498872,50577.089722084784,1.0002394310561902,3.961255503397009,81.16462328561829,8747.336063965804,188.66776471253803,186.90713574479747,182.77766124674284,188.6645269103962,186.91206274694335,182.71932766588006
std,401.061696641817,401.2438169530168,405.3504146451332,397.063859335256,23113315.345584746,401.2956418143533,100783.25710638717,0.014765261476612954,9.28342677401249,70.7915714669994,5934.804183795633,400.31140559400166,393.87670910887596,376.83780946697163,400.28022389797184,393.76406720697275,377.3018366832701
min,5.98,6.0,6.17,5.84,816.0,6.0397,39.0,0.4993,0.06,2.9936395759717316,469.0399524815242,6.18598,6.248442857142857,6.248442857142857,6.161204801097394,6.374783437706101,6.429980205895425
25%,60.69,60.7,61.3,60.075,983612.0,60.7006,19568.0,0.9924,1.07,45.6862603477971,4976.558756094993,60.642579999999995,60.3589,59.836345,60.651325143951134,60.35218622708976,60.069185534100995
50%,110.31,110.35,111.5185,109.07,1996403.0,110.3466,30273.0,1.0004,2.09,62.66035017730496,7067.969133151917,110.23708,109.52863666666669,108.204658,110.22041603215555,109.6114976253758,107.7175828608726
75%,208.02,208.09,210.22,205.87,4534594.0,208.0752,50527.0,1.0082,4.137,92.79015666736127,10752.272471768758,207.84538,207.02946666666668,205.40152777777777,207.80682120620693,207.17401224751205,205.2862484566306
max,9914.17,9924.4,9964.77,9794.0,1543833770.0,9905.0066,4741155.0,1.3265,472.2,1956.4680496308008,286896.9294431866,9820.16212,9608.155876666666,9150.617209,9807.845211532887,9535.734118716578,8993.779998610356
